case_,date_of_occurrence,block,_primary_decsription,fbi_cd,_secondary_description,ward,_location_description,domestic,beat,_iucr,arrest,:@computed_region_43wa_7qmu,location,y_coordinate,latitude,:@computed_region_awaf_s7ux,x_coordinate,longitude,:@computed_region_bdys_3d7i,:@computed_region_6mkv_f3dw,:@computed_region_vrxf_vc4k
JG117827,2023-01-16T05:35:00.000,081XX S HONORE ST,CRIMINAL DAMAGE,14,TO PROPERTY,17,RESIDENCE - GARAGE,N,614,1310,N,31.0,"{'latitude': '41.745809399', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.669390612'}",1850663.0,41.745809399,6.0,1165435.0,-87.669390612,574.0,21554.0,70.0
JG118837,2023-01-16T21:20:00.000,079XX S ASHLAND AVE,CRIMINAL DAMAGE,14,TO VEHICLE,21,STREET,N,611,1320,Y,13.0,"{'latitude': '41.749880266', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.663426578'}",1852159.0,41.749880266,18.0,1167051.0,-87.663426578,574.0,21554.0,70.0
JG117762,2023-01-16T03:30:00.000,067XX W 63RD ST,CRIMINAL DAMAGE,14,TO PROPERTY,13,CONVENIENCE STORE,N,812,1310,N,15.0,"{'latitude': '41.777540344', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.790327923'}",1861994.0,41.777540344,35.0,1132359.0,-87.790327923,336.0,22268.0,62.0
JG125098,2023-01-09T18:33:00.000,014XX W Howard St,THEFT,06,$500 AND UNDER,49,RESIDENCE - PORCH / HALLWAY,N,2422,0820,N,,,,,,,,,,
JG121047,2023-01-16T19:23:00.000,0000X N LOREL AVE,DECEPTIVE PRACTICE,11,FINANCIAL IDENTITY THEFT OVER $ 300,28,APARTMENT,N,1522,1153,N,7.0,"{'latitude': '41.88102981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.758757113'}",1899761.0,41.88102981,11.0,1140718.0,-87.758757113,674.0,22216.0,26.0
JG117741,2023-01-16T02:21:00.000,015XX W GARFIELD BLVD,BATTERY,08B,DOMESTIC BATTERY SIMPLE,16,APARTMENT,Y,934,0486,N,2.0,"{'latitude': '41.79406603', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.662460592'}",1868262.0,41.79406603,19.0,1167189.0,-87.662460592,790.0,22257.0,59.0
JG216011,2023-04-09T00:13:00.000,103XX S OGLESBY AVE,WEAPONS VIOLATION,15,UNLAWFUL POSSESSION - HANDGUN,7,STREET,N,434,143A,Y,37.0,"{'latitude': '41.707453932', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.565711764'}",1836922.0,41.707453932,47.0,1193853.0,-87.565711764,174.0,21202.0,48.0
JG118907,2023-01-16T11:00:00.000,065XX S ASHLAND AVE,BATTERY,08B,SIMPLE,16,STREET,N,725,0460,N,3.0,"{'latitude': '41.775378785', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.664107154'}",1861449.0,41.775378785,44.0,1166793.0,-87.664107154,280.0,22257.0,65.0
JG118994,2023-01-16T16:30:00.000,014XX W AUGUSTA BLVD,THEFT,06,OVER $500,2,STREET,N,1213,0810,N,11.0,"{'latitude': '41.89977041', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.66356292'}",1906778.0,41.89977041,41.0,1166588.0,-87.66356292,484.0,22620.0,25.0
JG117668,2023-01-16T00:27:00.000,008XX E 79TH ST,HOMICIDE,01A,FIRST DEGREE MURDER,8,STREET,N,624,0110,N,35.0,"{'latitude': '41.751296595', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.604413259'}",1852806.0,41.751296595,31.0,1183150.0,-87.604413259,497.0,21546.0,67.0
JG179267,2023-03-08T19:20:00.000,010XX W FULTON MARKET,THEFT,06,$500 AND UNDER,27,STREET,N,1214,0820,N,46.0,"{'latitude': '41.886718573', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.653713823'}",1902043.0,41.886718573,41.0,1169307.0,-87.653713823,63.0,14917.0,29.0
JF270887,2022-06-04T20:30:00.000,020XX W DIVISION ST,THEFT,06,OVER $500,1,RESTAURANT,N,1424,0810,N,,,,,,,,,,
JG118904,2023-01-16T21:30:00.000,021XX N KILDARE AVE,BATTERY,08B,SIMPLE,35,SIDEWALK,N,2522,0460,N,12.0,"{'latitude': '41.920211688', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.733985712'}",1914085.0,41.920211688,27.0,1147364.0,-87.733985712,75.0,22615.0,21.0
JG118199,2023-01-16T13:01:00.000,010XX N LEAMINGTON AVE,CRIMINAL DAMAGE,14,TO PROPERTY,37,APARTMENT,N,1531,1310,N,45.0,"{'latitude': '41.899446926', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.754481726'}",1906480.0,41.899446926,4.0,1141837.0,-87.754481726,585.0,4299.0,26.0
JG119040,2023-01-16T21:00:00.000,051XX W EDDY ST,THEFT,06,$500 AND UNDER,31,STREET,N,1634,0820,N,17.0,"{'latitude': '41.945162949', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '-87.755549735'}",1923137.0,41.945162949,25.0,1141434.0,-87.755549735,114.0,22618.0,15.0
